Time (s),Voltage,Current
0.09120345115661621,3.6485,-0.200932
1.1827778816223145,3.64834,-0.195081
2.2732186317443848,3.64803,-0.195012
3.3744235038757324,3.64787,-0.195086
4.465015411376953,3.64773,-0.195126
5.553386449813843,3.64757,-0.19509
6.6444926261901855,3.64748,-0.195054
7.740233898162842,3.64733,-0.195153
8.832893133163452,3.64725,-0.195124
9.922732591629028,3.6471,-0.195069
11.016218900680542,3.64703,-0.195105
12.105352401733398,3.64689,-0.19506
13.194437265396118,3.64683,-0.19508
14.281447172164917,3.64677,-0.195148
15.372864723205566,3.64664,-0.195027
16.469683408737183,3.64657,-0.195147
17.556573152542114,3.64649,-0.195037
18.64545226097107,3.64643,-0.195119
19.738593578338623,3.64633,-0.19506
20.834553956985474,3.64628,-0.19513
21.92305016517639,3.64623,-0.195088
23.01969861984253,3.64613,-0.195123
24.110400676727295,3.6461,-0.195103
25.199966430664062,3.64599,-0.195058
26.289167881011963,3.64597,-0.195075
27.383152723312378,3.64586,-0.19512
28.47225260734558,3.64582,-0.195054
29.564104557037354,3.64574,-0.195151
30.65409827232361,3.6457,-0.195079
31.747997045516968,3.64562,-0.195133
32.83478927612305,3.64554,-0.195021
33.92581081390381,3.64551,-0.195119
35.02299904823303,3.64544,-0.195077
36.113301515579224,3.64538,-0.195093
37.20387077331543,3.64535,-0.195027
38.290783166885376,3.64534,-0.195124
39.390963077545166,3.64525,-0.19504
40.4841513633728,3.6452,-0.195043
41.57322883605957,3.64517,-0.195106
42.667787313461304,3.64511,-0.19506
43.7558491230011,3.64502,-0.195127
44.843162059783936,3.645,-0.195114
45.93372845649719,3.64497,-0.195033
47.02373242378235,3.64492,-0.195159
48.12219500541687,3.64482,-0.195082
49.20892786979675,3.64478,-0.195128
50.29901099205017,3.64473,-0.195114
51.39003109931946,3.64467,-0.195158
52.48584818840027,3.64463,-0.195014
53.578152656555176,3.64461,-0.195051
54.6719172000885,3.64455,-0.195128
55.767327308654785,3.64455,-0.195112
56.85808563232422,3.64446,-0.195148
57.94951343536377,3.64445,-0.195068
59.041391134262085,3.64439,-0.195107
60.12929081916809,3.64435,-0.195026
61.219940185546875,3.64435,-0.195085
62.3127121925354,3.64425,-0.195127
63.40703082084656,3.6442,-0.195106
64.49316358566284,3.64417,-0.195073
65.58115744590759,3.64412,-0.195106
66.66816258430481,3.64411,-0.195128
67.75808191299438,3.64404,-0.195075
68.84933519363403,3.64401,-0.195069
69.94506549835205,3.64394,-0.195097
71.03711295127869,3.64397,-0.1951
72.12812399864197,3.64382,-0.195048
73.2197642326355,3.64388,-0.195135
74.30693435668945,3.64385,-0.195061
75.39537358283997,3.64379,-0.19501
76.48242330551147,3.64375,-0.195116
77.57276177406311,3.6437,-0.19509
78.66802167892456,3.64368,-0.195004
79.76127576828003,3.64356,-0.195048
80.85725831985474,3.64355,-0.1951
81.94435739517212,3.64352,-0.195093
83.03456425666809,3.64354,-0.195037
84.12580633163452,3.64342,-0.195081
85.21948075294495,3.64342,-0.195106
86.30676484107971,3.64335,-0.195023
87.39812207221985,3.64334,-0.195071
88.49167060852051,3.64334,-0.195135
89.58468508720398,3.64324,-0.195163
90.67420959472656,3.64323,-0.195109
91.76051259040833,3.64326,-0.19509
92.84963774681091,3.64319,-0.195125
93.94087648391724,3.64315,-0.195026
95.03527665138245,3.6431,-0.195132
96.12458539009094,3.64307,-0.195055
97.21777844429016,3.64305,-0.195099
98.31552481651306,3.64299,-0.195089
99.40380549430847,3.64293,-0.195085
100.49389314651489,3.64296,-0.195063
101.58733367919922,3.64287,-0.19512
102.67570924758911,3.64285,-0.195053
103.7658040523529,3.64286,-0.195092
104.85678148269653,3.64277,-0.195049
105.94970369338989,3.64277,-0.195096
107.04003405570984,3.64274,-0.19505
108.13068079948425,3.64271,-0.1951
109.21883988380432,3.64266,-0.195046
110.31570959091187,3.64265,-0.19505
111.40665555000305,3.64263,-0.195036
112.4936773777008,3.6426,-0.19514
113.5863823890686,3.64251,-0.195126
114.68002438545227,3.64254,-0.195094
115.768474817276,3.64248,-0.195061
116.85702991485596,3.64243,-0.195045
117.94804573059082,3.64244,-0.195158
119.0437376499176,3.64238,-0.1951
120.13313674926758,3.64233,-0.195113
121.22393894195557,3.64234,-0.195044
122.32147026062012,3.64229,-0.195102
123.41219449043274,3.64226,-0.195043
124.49817991256714,3.64217,-0.195093
125.58520340919495,3.6422,-0.195095
126.68148756027222,3.64212,-0.195071
127.77124166488647,3.64208,-0.195096
128.8617091178894,3.64213,-0.195124
129.95216846466064,3.64207,-0.195133
131.05057215690613,3.64205,-0.195124
132.13946771621704,3.64204,-0.195048
133.2287950515747,3.64201,-0.195145
134.32980394363403,3.64198,-0.195057
135.4203236103058,3.6419,-0.195072
136.51143264770508,3.64192,-0.195131
137.6085069179535,3.64186,-0.195053
138.69862818717957,3.64182,-0.195132
139.78280973434448,3.64178,-0.195009
140.87388110160828,3.6418,-0.195112
141.9613926410675,3.64178,-0.195113
143.05263495445251,3.64171,-0.195104
144.14658451080322,3.64173,-0.195164
145.23541927337646,3.64168,-0.195057
146.3273525238037,3.64168,-0.195049
147.42418551445007,3.6416,-0.195043
148.5138919353485,3.64159,-0.195094
149.60254740715027,3.64158,-0.19503
150.69837069511414,3.64156,-0.195068
151.7895221710205,3.64152,-0.19504
152.87905049324036,3.64154,-0.19513
153.97553777694702,3.64144,-0.195055
155.06447649002075,3.64141,-0.195145
156.1544280052185,3.6414,-0.195065
157.2467062473297,3.64142,-0.195121
158.34262609481812,3.64139,-0.195005
159.4323661327362,3.64135,-0.195154
160.52021622657776,3.64128,-0.195081
161.60728812217712,3.64131,-0.195194
162.6962866783142,3.64125,-0.19515
163.78684830665588,3.64118,-0.1951
164.8839030265808,3.64122,-0.195174
165.97582030296326,3.64118,-0.195084
167.06786704063416,3.64114,-0.195084
168.1606981754303,3.64111,-0.195187
169.2506582736969,3.6411,-0.195106
170.3409812450409,3.64107,-0.195076
171.42793440818787,3.64101,-0.195082
172.51498126983643,3.64102,-0.19507
173.60586667060852,3.64098,-0.195052
174.70433139801025,3.64094,-0.195117
175.79295444488525,3.64092,-0.195133
176.88027048110962,3.6409,-0.195117
177.96603631973267,3.64082,-0.195099
179.0627200603485,3.64086,-0.19514
180.15100145339966,3.64082,-0.195112
181.24060153961182,3.64081,-0.195177
182.329491853714,3.64074,-0.19509
183.4200954437256,3.64072,-0.195063
184.51484203338623,3.64071,-0.195095
185.60403847694397,3.6407,-0.195124
186.6946461200714,3.64066,-0.195133
187.78433537483215,3.64065,-0.195069
188.87784147262573,3.64062,-0.195172
189.96489477157593,3.64057,-0.195088
191.05112862586975,3.64059,-0.195135
192.1409935951233,3.64057,-0.195173
193.23330307006836,3.64054,-0.19507
194.32609343528748,3.64045,-0.195185
195.41617393493652,3.64048,-0.195044
196.50434589385986,3.64048,-0.195165
197.5953357219696,3.64041,-0.195094
198.69275760650635,3.64038,-0.195183
199.78156161308289,3.64035,-0.195068
200.8724365234375,3.64032,-0.195153
201.96518111228943,3.64029,-0.195102
203.05515480041504,3.64031,-0.195196
204.14545106887817,3.64029,-0.195071
205.23683953285217,3.64027,-0.195157
206.33365726470947,3.64025,-0.195059
207.42039036750793,3.64026,-0.195122
208.50946140289307,3.64016,-0.195077
209.60050201416016,3.64017,-0.195092
210.69434595108032,3.64012,-0.195083
211.78599643707275,3.64014,-0.195134
212.8746075630188,3.64005,-0.195102
213.9615933895111,3.64004,-0.195098
